,NGA,RelTime,SPC1,PolPop,PolTerr,CapPop,levels,government,infrastr,writing,texts,money
104,Susiana,2600,0.731038618,6.161493334,5.402630552,3.924925274,4.899558141,0.95,0.928571429,0.842857143,1.0,3.0
105,Susiana,2700,0.731038618,6.161493334,5.402630552,3.924925274,4.899558141,0.95,0.928571429,0.842857143,1.0,3.0
106,Susiana,2800,0.6620337,5.341332739,4.063962329,4.484547519,4.009654321,0.9,0.6,0.76,0.541029624,2.7
107,Susiana,2900,0.6620337,5.341332739,4.063962329,4.484547519,4.009654321,0.9,0.6,0.76,0.541029624,2.7
108,Susiana,3000,0.703242406,6.631010293,5.500476105,3.601999509,4.11593416,0.725,0.783333333,0.842857143,0.833429933,2.7
109,Susiana,3100,0.768427176,7.181864442,6.08671003,4.467867502,4.220339258,0.9,0.9,0.842857143,1.0,2.7
110,Susiana,3200,0.887021376,7.333008823,6.740362689,5.301029996,6.185276146,0.972727273,0.891666667,0.828571429,0.925,5.0
111,Susiana,3300,0.884931562,7.452026836,6.579783597,5.301029996,6.185276146,0.972727273,0.891666667,0.828571429,0.925,5.0
112,Susiana,3400,0.85419066,7.204119983,6.556302501,4.82525317,5.479804078,0.9875,0.9,0.828571429,0.9375,5.0
113,Susiana,3500,0.778294628,4.802415616,5.447158031,4.82525317,5.479804078,0.9875,0.9,0.828571429,0.9375,5.0
114,Susiana,3600,0.81935254,6.736396502,6.301029996,5.477121255,5.595866645,0.677777778,0.916666667,0.816666667,0.9875,5.0
115,Susiana,3700,0.836338546,6.875061263,6.477121255,5.602059991,5.595866645,0.677777778,0.916666667,0.816666667,0.9875,5.0
116,Susiana,3800,0.759738768,5.830742127,4.60469802,4.507764847,4.0,0.9,0.925,1.0,0.925,5.0
117,Susiana,3900,0.759738768,5.830742127,4.60469802,4.507764847,4.0,0.9,0.925,1.0,0.925,5.0
118,Susiana,4000,0.806545958,6.698970004,6.424901758,5.0,6.684503355,0.545454545,0.9,0.771428571,0.925,5.0
119,Susiana,4100,0.819902671,6.698970004,6.499665679,5.397940009,6.684503355,0.545454545,0.9,0.771428571,0.925,5.0
120,Susiana,4200,0.846747292,6.949390007,6.537819095,5.602059991,6.489439991,0.518181818,0.97,0.814285714,0.975,5.0
121,Susiana,4300,0.874001984,7.344392274,6.414973348,5.698970004,6.489439991,0.7,0.97,0.814285714,0.975,5.0
122,Susiana,4400,0.841906264,7.391731577,6.954242509,5.479298043,4.864308302,0.554545455,0.908333333,0.842857143,1.0,5.0
123,Susiana,4500,0.8674214,7.489246297,6.919078092,5.84509804,6.0,0.645454545,0.908333333,0.857142857,1.0,5.0
124,Susiana,4600,0.833596468,7.017229138,6.0,5.477121255,6.0,0.645454545,0.908333333,0.857142857,1.0,5.0
125,Susiana,4700,0.82841991,6.710545334,5.954242509,5.096910013,5.72642198,0.77,0.98,0.814285714,0.9625,5.0
126,Susiana,4800,0.850992738,7.08278537,6.637651388,5.959413548,5.0,0.827272727,0.825,0.828571429,1.0,5.0
127,Susiana,4900,0.838994965,6.591064607,5.875061263,6.0,5.153442194,0.888888889,0.845454545,0.828571429,1.0,5.0
