,NGA,RelTime,SPC1,PolPop,PolTerr,CapPop,levels,government,infrastr,writing,texts,money
137,Upper Egypt,2100,0.726817074,6.705785805,5.323404684,5.079181246,4.712371042,0.816666667,0.708333333,0.816666667,0.925,2.7
138,Upper Egypt,2200,0.724250613,6.143561342,5.323404684,5.0,4.712371042,0.816666667,0.708333333,0.816666667,0.925,2.7
139,Upper Egypt,2300,0.724250613,6.143561342,5.323404684,5.0,4.712371042,0.816666667,0.708333333,0.816666667,0.925,2.7
140,Cuzco,-100,0.374144584,4.400131952,3.373532691,4.658418296,4.0,0.41,0.61,0.033333333,0.0,1.0
141,Cuzco,0,0.594645533,7.331048374,6.105330115,4.67839363,5.591314254,0.581818182,0.758333333,0.428571429,0.0,1.8
142,Cuzco,100,0.602291323,6.871990775,6.105330115,4.67839363,5.591314254,0.581818182,0.758333333,0.428571429,0.0,1.8
143,Middle Yellow River Valley,-3200,0.224902441,4.09560288,2.761695291,2.511716905,1.841694174,0.1,0.18,0.18,0.0,0.5
144,Middle Yellow River Valley,-3100,0.224902441,4.09560288,2.761695291,2.511716905,1.841694174,0.1,0.18,0.18,0.0,0.5
145,Middle Yellow River Valley,-3000,0.224902441,4.09560288,2.761695291,2.511716905,1.841694174,0.1,0.18,0.18,0.0,0.5
146,Middle Yellow River Valley,-2900,0.224902441,4.09560288,2.761695291,2.511716905,1.841694174,0.1,0.18,0.18,0.0,0.5
147,Middle Yellow River Valley,-2800,0.224902441,4.09560288,2.761695291,2.511716905,1.841694174,0.1,0.18,0.18,0.0,0.5
148,Middle Yellow River Valley,-2700,0.224902441,4.09560288,2.761695291,2.511716905,1.841694174,0.1,0.18,0.18,0.0,0.5
149,Middle Yellow River Valley,-2600,0.224902441,4.09560288,2.761695291,2.511716905,1.841694174,0.1,0.18,0.18,0.0,0.5
150,Middle Yellow River Valley,-2500,0.224902441,4.09560288,2.761695291,2.511716905,1.841694174,0.1,0.18,0.18,0.0,0.5
151,Middle Yellow River Valley,-2400,0.224902441,4.09560288,2.761695291,2.511716905,1.841694174,0.1,0.18,0.18,0.0,0.5
152,Middle Yellow River Valley,-2300,0.224902441,4.09560288,2.761695291,2.511716905,1.841694174,0.1,0.18,0.18,0.0,0.5
153,Middle Yellow River Valley,-2200,0.224902441,4.09560288,2.761695291,2.511716905,1.841694174,0.1,0.18,0.18,0.0,0.5
154,Middle Yellow River Valley,-2100,0.224902441,4.09560288,2.761695291,2.511716905,1.841694174,0.1,0.18,0.18,0.0,0.5
155,Middle Yellow River Valley,-2000,0.224902441,4.09560288,2.761695291,2.511716905,1.841694174,0.1,0.18,0.18,0.0,0.5
156,Middle Yellow River Valley,-1900,0.224902441,4.09560288,2.761695291,2.511716905,1.841694174,0.1,0.18,0.18,0.0,0.5
157,Middle Yellow River Valley,-1800,0.224902441,4.09560288,2.761695291,2.511716905,1.841694174,0.1,0.18,0.18,0.0,0.5
158,Middle Yellow River Valley,-1700,0.224902441,4.09560288,2.761695291,2.511716905,1.841694174,0.1,0.18,0.18,0.0,0.5
159,Middle Yellow River Valley,-1600,0.224902441,4.09560288,2.761695291,2.511716905,1.841694174,0.1,0.18,0.18,0.0,0.5
160,Middle Yellow River Valley,-1500,0.224902441,4.09560288,2.761695291,2.511716905,1.841694174,0.1,0.18,0.18,0.0,0.5
161,Middle Yellow River Valley,-1400,0.224902441,4.09560288,2.761695291,2.511716905,1.841694174,0.1,0.18,0.18,0.0,0.5
162,Middle Yellow River Valley,-1300,0.224902441,4.09560288,2.761695291,2.511716905,1.841694174,0.1,0.18,0.18,0.0,0.5
163,Middle Yellow River Valley,-1200,0.4876171,4.953136992,3.183079466,4.531166187,3.338896534,0.216666667,0.6125,0.633333333,0.816126756,2.7
164,Middle Yellow River Valley,-1100,0.4876171,4.953136992,3.183079466,4.531166187,3.338896534,0.216666667,0.6125,0.633333333,0.816126756,2.7
165,Middle Yellow River Valley,-1000,0.4876171,4.953136992,3.183079466,4.531166187,3.338896534,0.216666667,0.6125,0.633333333,0.816126756,2.7
166,Middle Yellow River Valley,-900,0.4876171,4.953136992,3.183079466,4.531166187,3.338896534,0.216666667,0.6125,0.633333333,0.816126756,2.7
167,Middle Yellow River Valley,-800,0.4876171,4.953136992,3.183079466,4.531166187,3.338896534,0.216666667,0.6125,0.633333333,0.816126756,2.7
168,Middle Yellow River Valley,-700,0.4876171,4.953136992,3.183079466,4.531166187,3.338896534,0.216666667,0.6125,0.633333333,0.816126756,2.7
169,Middle Yellow River Valley,-600,0.4876171,4.953136992,3.183079466,4.531166187,3.338896534,0.216666667,0.6125,0.633333333,0.816126756,2.7
170,Middle Yellow River Valley,-500,0.4876171,4.953136992,3.183079466,4.531166187,3.338896534,0.216666667,0.6125,0.633333333,0.816126756,2.7
171,Middle Yellow River Valley,-400,0.4876171,4.953136992,3.183079466,4.531166187,3.338896534,0.216666667,0.6125,0.633333333,0.816126756,2.7
172,Middle Yellow River Valley,-300,0.4876171,4.953136992,3.183079466,4.531166187,3.338896534,0.216666667,0.6125,0.633333333,0.816126756,2.7
173,Middle Yellow River Valley,-200,0.4876171,4.953136992,3.183079466,4.531166187,3.338896534,0.216666667,0.6125,0.633333333,0.816126756,2.7
174,Middle Yellow River Valley,-100,0.4876171,4.953136992,3.183079466,4.531166187,3.338896534,0.216666667,0.6125,0.633333333,0.816126756,2.7
