,NGA,RelTime,SPC1
429,Upper Egypt,2800,0.887760354
430,Upper Egypt,2900,0.879593752
431,Upper Egypt,3000,0.879200369
432,Upper Egypt,3100,0.926778876
433,Upper Egypt,3200,0.931204977
434,Upper Egypt,3300,0.929826614
435,Upper Egypt,3400,0.928458305
436,Upper Egypt,3500,0.912166058
437,Upper Egypt,3600,0.922031865
438,Upper Egypt,3700,0.90158306
439,Upper Egypt,3800,0.841906264
440,Upper Egypt,3900,0.8674214
441,Upper Egypt,4000,0.807219453
442,Upper Egypt,4100,0.866663684
443,Upper Egypt,4200,0.847958006
444,Upper Egypt,4300,0.839821765
445,Upper Egypt,4400,0.893062495
446,Upper Egypt,4500,0.893948972
447,Upper Egypt,4600,0.883267825
448,Upper Egypt,4700,0.958306584
449,Upper Egypt,4800,0.95750208
450,Niger Inland Delta,-1200,0.098110084
451,Niger Inland Delta,-1100,0.098110084
452,Niger Inland Delta,-1000,0.098110084
453,Niger Inland Delta,-900,0.201993575
454,Niger Inland Delta,-800,0.201993575
455,Niger Inland Delta,-700,0.201993575
456,Niger Inland Delta,-600,0.302211858
457,Niger Inland Delta,-500,0.302211858
458,Niger Inland Delta,-400,0.302211858
459,Niger Inland Delta,-300,0.302211858
460,Niger Inland Delta,-200,0.302211858
461,Niger Inland Delta,-100,0.378760295
462,Niger Inland Delta,0,0.552919092
463,Niger Inland Delta,100,0.707377982
464,Niger Inland Delta,200,0.707377982
465,Niger Inland Delta,300,0.718474537
466,Niger Inland Delta,400,0.720930119
467,Niger Inland Delta,500,0.767729211
468,Niger Inland Delta,600,0.816770181
469,Niger Inland Delta,700,0.816770181
470,Niger Inland Delta,800,0.751562933
471,Cambodian Basin,0,0.673645867
472,Cambodian Basin,100,0.673645867
473,Cambodian Basin,200,0.673645867
474,Cambodian Basin,300,0.664762288
475,Cambodian Basin,400,0.753939739
476,Cambodian Basin,500,0.783000327
477,Cambodian Basin,600,0.844608618
478,Cambodian Basin,700,0.828655743
479,Cambodian Basin,800,0.840908724
480,Cambodian Basin,900,0.840908724
481,Cambodian Basin,1000,0.812885255
482,Cambodian Basin,1100,0.812885255
483,Cambodian Basin,1200,0.810691153
484,Cambodian Basin,1300,0.806050671
485,Cambodian Basin,1400,0.806732635
486,Cambodian Basin,1500,0.797298612
487,Susiana,-4100,0.129736675
488,Susiana,-4000,0.129736675
489,Susiana,-3900,0.129736675
490,Susiana,-3800,0.129736675
491,Susiana,-3700,0.129736675
492,Susiana,-3600,0.129736675
493,Susiana,-3500,0.139350082
494,Susiana,-3400,0.139350082
495,Susiana,-3300,0.16218274
496,Susiana,-3200,0.16218274
497,Susiana,-3100,0.16218274
498,Susiana,-3000,0.16218274
499,Susiana,-2900,0.16218274
500,Susiana,-2800,0.16218274
501,Susiana,-2700,0.16218274
502,Susiana,-2600,0.16218274
503,Susiana,-2500,0.16218274
504,Susiana,-2400,0.16218274
505,Susiana,-2300,0.192816753
506,Susiana,-2200,0.192816753
507,Susiana,-2100,0.192816753
508,Susiana,-2000,0.189471307
509,Susiana,-1900,0.189471307
510,Susiana,-1800,0.189471307
511,Susiana,-1700,0.189471307
512,Susiana,-1600,0.189471307
513,Susiana,-1500,0.189471307
514,Susiana,-1400,0.222346083
515,Susiana,-1300,0.236591074
516,Susiana,-1200,0.236591074
517,Susiana,-1100,0.236591074
518,Susiana,-1000,0.257749034
519,Susiana,-900,0.257749034
520,Susiana,-800,0.257749034
521,Susiana,-700,0.257749034
522,Susiana,-600,0.282595192
523,Susiana,-500,0.282595192
524,Susiana,-400,0.282595192
525,Susiana,-300,0.282595192
526,Susiana,-200,0.24254955
527,Susiana,-100,0.458935806
528,Susiana,0,0.512212835
529,Susiana,100,0.535130762
530,Susiana,200,0.551342914
531,Susiana,300,0.562228405
532,Susiana,400,0.561189636
533,Susiana,500,0.52954672
534,Susiana,600,0.53746034
535,Susiana,700,0.58998018
536,Susiana,800,0.58998018
537,Susiana,900,0.58998018
538,Susiana,1000,0.58998018
539,Susiana,1100,0.664406759
540,Susiana,1200,0.664406759
541,Susiana,1300,0.664406759
542,Susiana,1400,0.664406759
543,Susiana,1500,0.740938642
544,Susiana,1600,0.735807194
545,Susiana,1700,0.699571472
546,Susiana,1800,0.721138586
547,Susiana,1900,0.72562999
548,Susiana,2000,0.705878569
549,Susiana,2100,0.688909368
550,Susiana,2200,0.684201899
551,Susiana,2300,0.722958972
552,Susiana,2400,0.69006511
553,Susiana,2500,0.731038618
554,Susiana,2600,0.731038618
555,Susiana,2700,0.731038618
556,Susiana,2800,0.6620337
557,Susiana,2900,0.6620337
558,Susiana,3000,0.703242406
559,Susiana,3100,0.768427176
560,Susiana,3200,0.887021376
561,Susiana,3300,0.884931562
562,Susiana,3400,0.85419066
563,Susiana,3500,0.778294628
564,Susiana,3600,0.81935254
565,Susiana,3700,0.836338546
566,Susiana,3800,0.759738768
567,Susiana,3900,0.759738768
568,Susiana,4000,0.806545958
569,Susiana,4100,0.819902671
570,Susiana,4200,0.846747292
571,Susiana,4300,0.874001984
572,Susiana,4400,0.841906264
573,Susiana,4500,0.8674214
574,Susiana,4600,0.833596468
575,Susiana,4700,0.82841991
576,Susiana,4800,0.850992738
577,Susiana,4900,0.838994965
578,Susiana,5000,0.818716171
579,Susiana,5100,0.872745656
580,Susiana,5200,0.812769721
581,Susiana,5300,0.839888365
582,Susiana,5400,0.839888365
583,Central Java,0,0.669788918
584,Central Java,100,0.675778444
